id,domain,task_difficulty,time_to_reward_days,past_failure_loops,self_efficacy_score,emotional_valence,social_pressure,task_clarity,time_available_hrs,distraction_level,perfectionism_score,reward_proximity,failure_weight,clarity_gap,delay_score,delay_label,primary_delay_cause,nudge_recommendation,acted
505,Fitness,4.07,297.2,9,4.88,4.8,5.67,4.08,4.24,2.56,7.03,0.0034,4.608,5.92,56.65,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
506,Creative Project,9.38,209.8,7,2.03,0.96,3.25,1.88,2.81,3.77,4.65,0.0047,5.579,8.12,83.93,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
507,Health Checkup,1.98,297.2,12,8.38,-1.73,6.45,1.55,1.5,2.25,6.23,0.0034,1.944,8.45,67.57,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
508,Creative Project,8.29,276.5,10,2.34,0.31,3.9,6.2,1.38,7.13,3.85,0.0036,7.66,3.8,86.93,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
509,Health Checkup,8.15,248.2,6,7.46,4.15,9.9,6.24,3.77,5.59,8.63,0.004,1.524,3.76,55.14,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
510,Career Choice,1.56,328.9,0,1.01,0.6,9.79,1.99,1.87,1.28,4.89,0.003,0.0,8.01,50.74,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
511,Health Checkup,4.55,116.5,6,4.65,-0.65,2.11,2.56,1.05,6.0,8.59,0.0085,3.21,7.44,60.49,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
512,Career Choice,8.56,56.7,10,2.13,-4.88,6.48,2.3,5.34,6.92,9.77,0.0173,7.87,7.7,95.11,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
513,Studying,1.76,234.6,6,8.74,3.94,6.95,9.37,3.83,5.09,4.82,0.0042,0.756,0.63,27.36,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
514,Finance,4.46,82.8,6,6.44,0.78,8.47,3.13,3.13,4.7,5.92,0.0119,2.136,6.87,37.05,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
515,Career Choice,1.3,14.3,7,7.34,-3.87,4.82,7.21,1.07,7.58,9.85,0.0654,1.862,2.79,41.67,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
516,Career Choice,5.18,29.0,9,1.8,-0.28,7.42,9.64,0.7,6.7,8.18,0.0333,7.38,0.36,56.77,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
517,Career Choice,6.52,329.9,8,8.01,-0.31,5.13,5.22,4.47,4.79,9.65,0.003,1.592,4.78,69.79,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
518,Career Choice,3.6,13.4,9,7.74,2.27,5.64,1.55,2.97,2.52,1.46,0.0694,2.034,8.45,32.56,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
519,Career Choice,8.28,228.1,4,5.36,-3.73,0.77,8.05,1.7,6.54,3.48,0.0044,1.856,1.95,71.2,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
520,Career Choice,1.13,41.2,2,9.19,2.39,6.59,4.33,1.26,8.04,3.13,0.0237,0.162,5.67,4.82,Low,Ambiguity / Unclear Next Step,Write the very next physical action in one sentence.,1
521,Studying,8.19,314.7,5,9.86,4.67,5.96,8.4,5.07,7.77,4.72,0.0032,0.07,1.6,49.3,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
522,Finance,3.14,160.9,10,2.51,0.78,8.42,1.49,1.77,8.38,1.47,0.0062,7.49,8.51,64.76,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
523,Finance,4.59,110.3,11,9.53,4.22,2.34,7.15,2.49,3.36,5.77,0.009,0.517,2.85,36.91,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
524,Finance,1.11,338.5,7,4.44,-1.84,5.3,9.6,0.81,5.78,4.18,0.0029,3.892,0.4,49.65,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
525,Finance,6.49,238.2,4,4.01,-2.33,0.98,6.89,2.5,7.96,7.74,0.0042,2.396,3.11,74.41,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
526,Creative Project,7.05,281.3,8,4.04,1.9,1.8,5.93,4.12,8.49,1.11,0.0035,4.768,4.07,78.25,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
527,Fitness,5.73,250.4,5,2.97,-2.17,1.93,1.21,0.78,9.45,6.91,0.004,3.515,8.79,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
528,Studying,9.55,233.1,11,9.62,-4.14,6.05,4.38,4.64,6.83,8.23,0.0043,0.418,5.62,83.77,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
529,Studying,9.06,254.1,4,3.65,1.6,0.76,5.08,5.97,7.92,7.23,0.0039,2.54,4.92,88.39,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
530,Creative Project,7.93,118.4,2,8.03,-2.23,0.62,4.5,5.98,3.32,8.32,0.0084,0.394,5.5,48.85,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
531,Studying,4.97,179.7,3,6.49,-3.22,4.92,2.29,4.67,2.97,6.79,0.0055,1.053,7.71,46.67,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
532,Finance,7.44,38.1,1,1.63,2.28,7.77,1.17,3.11,6.88,1.01,0.0256,0.837,8.83,42.64,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
533,Fitness,6.98,97.6,11,3.97,-1.09,0.04,7.37,4.68,5.3,4.64,0.0101,6.633,2.63,69.06,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
534,Creative Project,8.03,286.8,8,3.03,-1.16,6.89,8.02,0.95,5.82,9.92,0.0035,5.576,1.98,84.14,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
535,Career Choice,7.14,146.5,10,9.97,1.47,3.65,8.68,2.21,8.57,7.84,0.0068,0.03,1.32,52.15,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
536,Career Choice,6.83,64.9,0,9.71,1.61,2.99,4.51,0.86,7.2,5.38,0.0152,0.0,5.49,25.28,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
537,Creative Project,4.94,69.6,0,2.74,2.2,5.93,5.4,0.61,5.86,3.77,0.0142,0.0,4.6,33.59,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
538,Health Checkup,9.68,296.4,0,1.33,-4.44,7.88,1.39,0.93,8.26,7.01,0.0034,0.0,8.61,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
539,Finance,9.46,317.7,8,2.34,0.79,9.25,1.33,1.06,6.88,5.24,0.0031,6.128,8.67,95.2,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
540,Health Checkup,1.41,256.1,2,1.13,1.33,9.05,8.39,0.81,6.5,8.52,0.0039,1.774,1.61,34.41,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
541,Fitness,8.36,39.3,7,6.35,1.16,0.63,2.82,2.19,8.52,7.64,0.0248,2.555,7.18,59.58,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
542,Finance,3.92,356.2,9,5.91,-1.78,9.65,2.92,0.51,2.56,1.57,0.0028,3.681,7.08,52.09,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
543,Career Choice,2.27,151.8,11,4.33,-3.35,2.44,6.24,1.02,8.12,6.69,0.0065,6.237,3.76,73.96,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
544,Finance,8.0,6.2,7,1.73,-4.93,9.26,7.36,3.66,3.55,7.24,0.1389,5.789,2.64,49.95,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
545,Finance,7.23,75.6,10,3.44,-0.5,2.39,2.57,4.23,6.37,7.45,0.0131,6.56,7.43,82.36,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
546,Health Checkup,9.55,229.1,12,3.71,-0.81,5.58,2.73,5.92,9.79,6.57,0.0043,7.548,7.27,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
547,Health Checkup,5.57,169.7,10,6.93,-2.24,1.94,8.17,4.19,9.72,5.27,0.0059,3.07,1.83,65.17,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
548,Studying,2.44,336.8,0,6.8,-2.15,4.35,4.01,4.88,7.83,1.39,0.003,0.0,5.99,30.08,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
549,Creative Project,1.47,196.4,2,8.07,-0.15,1.16,9.06,4.4,6.33,3.93,0.0051,0.386,0.94,12.78,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
550,Studying,7.72,328.0,3,8.01,-1.74,0.98,7.64,5.25,4.38,2.99,0.003,0.597,2.36,50.25,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
551,Finance,6.27,20.3,6,2.3,4.28,4.55,4.49,1.03,7.48,6.69,0.0469,4.62,5.51,61.59,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
552,Career Choice,2.82,46.9,11,6.12,-2.19,1.11,5.19,2.65,7.84,2.98,0.0209,4.268,4.81,46.34,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
553,Career Choice,6.43,288.3,10,9.57,4.06,5.78,5.97,1.57,4.71,5.7,0.0035,0.43,4.03,64.87,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
554,Studying,6.32,305.6,4,1.13,-0.72,8.73,3.23,2.75,3.0,9.35,0.0033,3.548,6.77,74.05,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
555,Studying,9.22,327.9,6,9.82,-4.6,4.71,7.92,0.44,5.78,5.31,0.003,0.108,2.08,71.71,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
556,Creative Project,8.39,165.4,3,1.75,2.53,6.93,4.66,1.5,4.23,3.15,0.006,2.475,5.34,60.03,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
557,Fitness,1.14,244.4,2,7.33,3.58,7.47,1.22,2.87,7.95,8.87,0.0041,0.534,8.78,45.89,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
558,Finance,2.66,318.2,10,5.18,1.33,8.6,1.64,5.39,4.0,1.29,0.0031,4.82,8.36,53.57,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
559,Finance,7.78,254.9,9,5.88,2.94,7.88,1.73,5.31,7.62,1.49,0.0039,3.708,8.27,72.91,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
560,Creative Project,4.28,19.3,6,4.29,1.19,3.66,2.58,3.46,1.6,7.38,0.0493,3.426,7.42,35.43,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
561,Studying,2.25,122.6,8,2.02,-0.22,9.39,6.22,5.76,2.89,7.71,0.0081,6.384,3.78,46.13,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
562,Studying,3.88,327.8,8,7.12,-2.23,0.63,4.11,3.05,5.74,2.1,0.003,2.304,5.89,65.96,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
563,Creative Project,5.79,301.4,4,5.07,-1.32,6.73,7.24,5.87,8.95,2.7,0.0033,1.972,2.76,49.91,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
564,Finance,1.79,142.9,2,3.6,4.57,1.09,3.48,4.26,5.47,8.87,0.0069,1.28,6.52,41.06,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
565,Health Checkup,9.57,8.8,6,9.73,0.41,1.32,4.12,2.8,6.8,3.62,0.102,0.162,5.88,36.57,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
566,Fitness,1.2,292.8,8,6.8,-0.88,3.43,6.81,2.13,6.34,7.27,0.0034,2.56,3.19,49.41,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
567,Health Checkup,5.01,111.3,2,9.08,-1.94,7.89,3.04,2.39,3.59,8.61,0.0089,0.184,6.96,15.75,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
568,Studying,4.18,166.7,2,6.57,-3.39,5.35,2.64,1.26,7.37,9.14,0.006,0.686,7.36,57.85,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
569,Studying,2.45,43.1,5,6.17,-0.59,3.7,2.85,4.32,6.99,9.8,0.0227,1.915,7.15,42.43,Medium,Ambiguity / Unclear Next Step,Write the very next physical action in one sentence.,1
570,Studying,4.36,197.3,2,5.8,-3.79,0.25,9.38,4.67,9.53,9.35,0.005,0.84,0.62,50.67,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
571,Studying,1.04,269.7,8,3.98,2.05,4.74,3.61,5.68,9.83,6.16,0.0037,4.816,6.39,61.93,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
572,Studying,8.2,266.1,7,4.05,-3.88,4.79,1.36,4.15,2.05,1.22,0.0037,4.165,8.64,74.95,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
573,Health Checkup,8.57,163.1,1,3.94,1.08,1.95,5.74,4.74,7.9,2.76,0.0061,0.606,4.26,48.73,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
574,Fitness,5.85,162.9,10,9.62,4.76,3.94,5.41,3.72,5.6,1.5,0.0061,0.38,4.59,41.54,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
575,Creative Project,4.25,54.4,6,4.33,-1.27,2.85,4.16,5.87,8.87,1.79,0.0181,3.402,5.84,45.87,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
576,Creative Project,8.99,270.8,6,8.23,-2.11,8.06,9.73,2.69,9.07,2.26,0.0037,1.062,0.27,53.71,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
577,Health Checkup,6.38,52.9,4,5.27,3.68,9.87,1.6,5.77,7.81,1.8,0.0186,1.892,8.4,31.89,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
578,Finance,6.75,100.1,2,6.0,2.1,7.55,2.23,1.32,4.44,5.98,0.0099,0.8,7.77,34.37,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
579,Fitness,8.41,110.6,9,3.74,0.59,4.63,1.24,0.26,3.36,9.6,0.009,5.634,8.76,79.59,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
580,Creative Project,5.25,238.8,4,4.75,-0.08,6.88,3.2,0.94,3.49,9.95,0.0042,2.1,6.8,54.78,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
581,Fitness,6.39,132.4,7,6.09,3.68,6.28,5.28,4.24,2.08,5.61,0.0075,2.737,4.72,43.4,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
582,Health Checkup,1.16,95.1,9,1.53,-1.8,8.78,2.22,1.19,3.45,4.78,0.0104,7.623,7.78,55.44,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
583,Career Choice,1.44,106.8,10,9.43,0.14,7.66,2.65,0.79,7.77,5.89,0.0093,0.57,7.35,41.71,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
584,Career Choice,8.44,250.2,4,3.44,1.98,3.63,5.81,2.27,2.29,2.23,0.004,2.624,4.19,58.12,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
585,Career Choice,4.36,177.2,5,9.29,-3.37,2.18,5.53,5.03,8.16,6.03,0.0056,0.355,4.47,43.58,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
586,Creative Project,8.48,192.1,8,7.41,2.02,8.03,4.76,5.52,2.05,2.18,0.0052,2.072,5.24,47.58,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
587,Fitness,5.32,114.1,5,2.25,-0.58,9.88,5.71,5.83,2.55,3.74,0.0087,3.875,4.29,36.47,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
588,Creative Project,8.33,81.5,11,2.28,-2.73,1.25,2.17,0.7,7.22,8.06,0.0121,8.492,7.83,100.0,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
589,Fitness,1.17,177.0,6,1.38,-3.92,7.93,5.62,0.59,2.07,3.28,0.0056,5.172,4.38,43.28,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
590,Fitness,3.71,4.2,1,8.04,4.2,2.05,9.11,1.31,4.16,1.82,0.1923,0.196,0.89,8.83,Low,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
591,Creative Project,9.48,346.3,5,4.17,3.55,7.81,6.52,3.15,1.62,8.38,0.0029,2.915,3.48,69.77,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
592,Fitness,5.76,261.4,4,2.55,2.54,0.04,7.53,5.56,9.28,8.66,0.0038,2.98,2.47,71.03,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
593,Finance,4.3,215.3,7,7.06,-3.93,8.35,9.83,2.69,5.63,4.67,0.0046,2.058,0.17,37.42,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
594,Career Choice,2.11,40.7,2,5.46,-1.39,2.88,7.5,0.72,5.44,4.46,0.024,0.908,2.5,22.19,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
595,Finance,6.4,114.2,7,3.03,-0.93,9.85,4.85,5.18,9.05,8.22,0.0087,4.879,5.15,59.71,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
596,Creative Project,4.31,5.2,10,5.42,-3.95,4.38,6.93,0.74,2.29,4.61,0.1613,4.58,3.07,51.1,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
597,Health Checkup,9.8,270.8,2,1.58,4.75,3.39,6.35,5.95,2.1,8.54,0.0037,1.684,3.65,71.68,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
598,Creative Project,5.49,279.3,12,6.24,-2.27,7.89,6.79,2.55,5.28,6.43,0.0036,4.512,3.21,69.81,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
599,Finance,9.89,186.9,2,7.91,-3.92,2.51,5.48,3.86,2.21,1.9,0.0053,0.418,4.52,47.96,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
600,Fitness,8.47,182.1,0,9.75,-1.17,6.79,2.37,3.83,1.87,1.69,0.0055,0.0,7.63,23.54,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
601,Health Checkup,7.91,289.5,3,3.64,-0.02,5.05,5.88,4.9,5.86,1.16,0.0034,1.908,4.12,48.35,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
602,Fitness,9.92,321.3,1,4.45,-1.85,3.76,5.14,0.44,6.01,8.74,0.0031,0.555,4.86,79.63,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
603,Career Choice,8.96,60.3,6,2.21,2.16,4.87,1.98,4.13,6.94,7.17,0.0163,4.674,8.02,81.66,High,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
604,Health Checkup,5.23,205.4,2,5.56,-1.09,4.95,9.74,3.8,4.17,9.8,0.0048,0.888,0.26,38.69,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
605,Career Choice,1.55,215.7,2,8.53,-1.51,7.42,1.24,5.38,4.07,1.88,0.0046,0.294,8.76,22.32,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
606,Career Choice,9.93,150.6,0,6.95,-2.52,6.48,6.33,5.48,1.59,3.74,0.0066,0.0,3.67,37.32,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
607,Career Choice,2.53,196.8,0,5.15,3.63,5.68,9.11,1.78,7.26,6.29,0.0051,0.0,0.89,24.39,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
608,Career Choice,4.4,142.8,9,1.88,-0.12,6.91,2.85,3.11,8.3,7.01,0.007,7.308,7.15,75.13,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
609,Studying,6.53,132.9,6,2.82,1.35,9.74,1.68,5.14,2.93,3.39,0.0075,4.308,8.32,39.98,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
610,Career Choice,9.97,147.0,3,6.62,4.58,7.18,6.2,3.65,3.46,6.1,0.0068,1.014,3.8,50.93,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
611,Health Checkup,5.28,76.9,12,1.69,3.24,5.05,3.7,4.06,3.82,4.73,0.0128,9.972,6.3,72.16,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
612,Career Choice,6.62,165.7,12,5.93,3.81,6.28,5.65,1.32,5.49,6.95,0.006,4.884,4.35,70.47,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
613,Creative Project,9.44,98.2,10,5.79,1.14,7.69,4.9,3.51,6.64,5.7,0.0101,4.21,5.1,66.81,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
614,Career Choice,5.16,88.1,11,7.17,-2.0,4.35,3.87,5.02,1.58,2.83,0.0112,3.113,6.13,43.09,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
